model,timestep,task,metric_value,best_layer
D,999,boundary,0.7393,res::up_blocks.0.resnets.1
D,999,ordinal,0.7337,res::up_blocks.1.resnets.0
D,999,depth,0.1528,res::up_blocks.1.resnets.0
D,999,boundary,0.7514,res::up_blocks.1.resnets.0
D,999,ordinal,0.7362,res::up_blocks.1.resnets.1
D,999,depth,0.1654,res::up_blocks.1.resnets.1
D,999,boundary,0.7419,res::up_blocks.1.resnets.1
D,999,ordinal,0.7151,res::up_blocks.2.resnets.0
D,999,depth,0.1705,res::up_blocks.2.resnets.0
D,999,boundary,0.7383,res::up_blocks.2.resnets.0
D,999,ordinal,0.7136,res::up_blocks.2.resnets.2
D,999,depth,0.1725,res::up_blocks.2.resnets.2
D,999,boundary,0.7403,res::up_blocks.2.resnets.2
D,999,ordinal,0.6646,res::up_blocks.3.resnets.1
D,999,depth,0.1477,res::up_blocks.3.resnets.1
D,999,boundary,0.7400,res::up_blocks.3.resnets.1
D,999,ordinal,0.7275,res::mid_block.resnets.0
D,999,depth,0.1531,res::mid_block.resnets.0
D,999,boundary,0.7303,res::mid_block.resnets.0
A,999,ordinal,0.6574,res::down_blocks.0.resnets.0
A,899,ordinal,0.6583,res::down_blocks.0.resnets.0
A,799,ordinal,0.6564,res::down_blocks.0.resnets.0
A,699,ordinal,0.6547,res::down_blocks.0.resnets.0
A,599,ordinal,0.6474,res::down_blocks.0.resnets.0
A,499,ordinal,0.6493,res::down_blocks.0.resnets.0
A,399,ordinal,0.6458,res::down_blocks.0.resnets.0
A,299,ordinal,0.6466,res::down_blocks.0.resnets.0
A,199,ordinal,0.6415,res::down_blocks.0.resnets.0
A,99,ordinal,0.6462,res::down_blocks.0.resnets.0
A,999,depth,0.1580,res::down_blocks.0.resnets.0
A,899,depth,0.1575,res::down_blocks.0.resnets.0
A,799,depth,0.1587,res::down_blocks.0.resnets.0
A,699,depth,0.1566,res::down_blocks.0.resnets.0
A,599,depth,0.1681,res::down_blocks.0.resnets.0
A,499,depth,0.1681,res::down_blocks.0.resnets.0
A,399,depth,0.1610,res::down_blocks.0.resnets.0
A,299,depth,0.1631,res::down_blocks.0.resnets.0
A,199,depth,0.1643,res::down_blocks.0.resnets.0
A,99,depth,0.1794,res::down_blocks.0.resnets.0
A,999,boundary,0.7506,res::down_blocks.0.resnets.0
A,899,boundary,0.7506,res::down_blocks.0.resnets.0
A,799,boundary,0.7506,res::down_blocks.0.resnets.0
A,699,boundary,0.7506,res::down_blocks.0.resnets.0
A,599,boundary,0.7506,res::down_blocks.0.resnets.0
A,499,boundary,0.7506,res::down_blocks.0.resnets.0
A,399,boundary,0.7506,res::down_blocks.0.resnets.0
A,299,boundary,0.7506,res::down_blocks.0.resnets.0
A,199,boundary,0.7506,res::down_blocks.0.resnets.0
A,99,boundary,0.7506,res::down_blocks.0.resnets.0
A,999,ordinal,0.6581,res::down_blocks.0.resnets.1
A,899,ordinal,0.6541,res::down_blocks.0.resnets.1
A,799,ordinal,0.6501,res::down_blocks.0.resnets.1
A,699,ordinal,0.6395,res::down_blocks.0.resnets.1
A,599,ordinal,0.6378,res::down_blocks.0.resnets.1
A,499,ordinal,0.6417,res::down_blocks.0.resnets.1
A,399,ordinal,0.6427,res::down_blocks.0.resnets.1
A,299,ordinal,0.6479,res::down_blocks.0.resnets.1
A,199,ordinal,0.6491,res::down_blocks.0.resnets.1
A,99,ordinal,0.6536,res::down_blocks.0.resnets.1
A,999,depth,0.1494,res::down_blocks.0.resnets.1
A,899,depth,0.1503,res::down_blocks.0.resnets.1
A,799,depth,0.1570,res::down_blocks.0.resnets.1
A,699,depth,0.1597,res::down_blocks.0.resnets.1
A,599,depth,0.1540,res::down_blocks.0.resnets.1
A,499,depth,0.1650,res::down_blocks.0.resnets.1
A,399,depth,0.1628,res::down_blocks.0.resnets.1
A,299,depth,0.1594,res::down_blocks.0.resnets.1
A,199,depth,0.1760,res::down_blocks.0.resnets.1
A,99,depth,0.1628,res::down_blocks.0.resnets.1
A,999,boundary,0.7506,res::down_blocks.0.resnets.1
A,899,boundary,0.7506,res::down_blocks.0.resnets.1
A,799,boundary,0.7506,res::down_blocks.0.resnets.1
A,699,boundary,0.7506,res::down_blocks.0.resnets.1
A,599,boundary,0.7506,res::down_blocks.0.resnets.1
A,499,boundary,0.7506,res::down_blocks.0.resnets.1
A,399,boundary,0.7506,res::down_blocks.0.resnets.1
A,299,boundary,0.7506,res::down_blocks.0.resnets.1
A,199,boundary,0.7506,res::down_blocks.0.resnets.1
A,99,boundary,0.7506,res::down_blocks.0.resnets.1
A,999,ordinal,0.6477,res::down_blocks.1.resnets.1
A,899,ordinal,0.6518,res::down_blocks.1.resnets.1
A,799,ordinal,0.6606,res::down_blocks.1.resnets.1
A,699,ordinal,0.6503,res::down_blocks.1.resnets.1
A,599,ordinal,0.6451,res::down_blocks.1.resnets.1
A,499,ordinal,0.6516,res::down_blocks.1.resnets.1
A,399,ordinal,0.6523,res::down_blocks.1.resnets.1
A,299,ordinal,0.6536,res::down_blocks.1.resnets.1
A,199,ordinal,0.6604,res::down_blocks.1.resnets.1
A,99,ordinal,0.6465,res::down_blocks.1.resnets.1
A,999,depth,0.1262,res::down_blocks.1.resnets.1
A,899,depth,0.1395,res::down_blocks.1.resnets.1
A,799,depth,0.1412,res::down_blocks.1.resnets.1
A,699,depth,0.1474,res::down_blocks.1.resnets.1
A,599,depth,0.1337,res::down_blocks.1.resnets.1
A,499,depth,0.1343,res::down_blocks.1.resnets.1
A,399,depth,0.1320,res::down_blocks.1.resnets.1
A,299,depth,0.1479,res::down_blocks.1.resnets.1
A,199,depth,0.1566,res::down_blocks.1.resnets.1
A,99,depth,0.1432,res::down_blocks.1.resnets.1
A,999,boundary,0.7505,res::down_blocks.1.resnets.1
A,899,boundary,0.7499,res::down_blocks.1.resnets.1
A,799,boundary,0.7493,res::down_blocks.1.resnets.1
A,699,boundary,0.7505,res::down_blocks.1.resnets.1
A,599,boundary,0.7502,res::down_blocks.1.resnets.1
A,499,boundary,0.7505,res::down_blocks.1.resnets.1
A,399,boundary,0.7504,res::down_blocks.1.resnets.1
A,299,boundary,0.7501,res::down_blocks.1.resnets.1
A,199,boundary,0.7506,res::down_blocks.1.resnets.1
A,99,boundary,0.7506,res::down_blocks.1.resnets.1
A,999,ordinal,0.6139,res::down_blocks.2.resnets.1
A,899,ordinal,0.6324,res::down_blocks.2.resnets.1
A,799,ordinal,0.6031,res::down_blocks.2.resnets.1
A,699,ordinal,0.6305,res::down_blocks.2.resnets.1
A,599,ordinal,0.6255,res::down_blocks.2.resnets.1
A,499,ordinal,0.6238,res::down_blocks.2.resnets.1
A,399,ordinal,0.6294,res::down_blocks.2.resnets.1
A,299,ordinal,0.6294,res::down_blocks.2.resnets.1
A,199,ordinal,0.6356,res::down_blocks.2.resnets.1
A,99,ordinal,0.6349,res::down_blocks.2.resnets.1
A,999,depth,0.1325,res::down_blocks.2.resnets.1
A,899,depth,0.1355,res::down_blocks.2.resnets.1
A,799,depth,0.1308,res::down_blocks.2.resnets.1
A,699,depth,0.1198,res::down_blocks.2.resnets.1
A,599,depth,0.1059,res::down_blocks.2.resnets.1
A,499,depth,0.1282,res::down_blocks.2.resnets.1
A,399,depth,0.1315,res::down_blocks.2.resnets.1
A,299,depth,0.1300,res::down_blocks.2.resnets.1
A,199,depth,0.1233,res::down_blocks.2.resnets.1
A,99,depth,0.1109,res::down_blocks.2.resnets.1
A,999,boundary,0.7467,res::down_blocks.2.resnets.1
A,899,boundary,0.7506,res::down_blocks.2.resnets.1
A,799,boundary,0.7484,res::down_blocks.2.resnets.1
A,699,boundary,0.7499,res::down_blocks.2.resnets.1
A,599,boundary,0.7506,res::down_blocks.2.resnets.1
A,499,boundary,0.7447,res::down_blocks.2.resnets.1
A,399,boundary,0.7493,res::down_blocks.2.resnets.1
A,299,boundary,0.7452,res::down_blocks.2.resnets.1
A,199,boundary,0.7487,res::down_blocks.2.resnets.1
A,99,boundary,0.7471,res::down_blocks.2.resnets.1
A,999,ordinal,0.5131,res::down_blocks.3.resnets.1
A,899,ordinal,0.5067,res::down_blocks.3.resnets.1
A,799,ordinal,0.5225,res::down_blocks.3.resnets.1
A,699,ordinal,0.4937,res::down_blocks.3.resnets.1
A,599,ordinal,0.5139,res::down_blocks.3.resnets.1
A,499,ordinal,0.5246,res::down_blocks.3.resnets.1
A,399,ordinal,0.5057,res::down_blocks.3.resnets.1
A,299,ordinal,0.5076,res::down_blocks.3.resnets.1
A,199,ordinal,0.5035,res::down_blocks.3.resnets.1
A,99,ordinal,0.5180,res::down_blocks.3.resnets.1
A,999,depth,0.0898,res::down_blocks.3.resnets.1
A,899,depth,0.0741,res::down_blocks.3.resnets.1
A,799,depth,0.0657,res::down_blocks.3.resnets.1
A,699,depth,0.0703,res::down_blocks.3.resnets.1
A,599,depth,0.0689,res::down_blocks.3.resnets.1
A,499,depth,0.0853,res::down_blocks.3.resnets.1
A,399,depth,0.0742,res::down_blocks.3.resnets.1
A,299,depth,0.0661,res::down_blocks.3.resnets.1
A,199,depth,0.0636,res::down_blocks.3.resnets.1
A,99,depth,0.0652,res::down_blocks.3.resnets.1
A,999,boundary,0.7256,res::down_blocks.3.resnets.1
A,899,boundary,0.7381,res::down_blocks.3.resnets.1
A,799,boundary,0.7131,res::down_blocks.3.resnets.1
A,699,boundary,0.7005,res::down_blocks.3.resnets.1
A,599,boundary,0.7255,res::down_blocks.3.resnets.1
A,499,boundary,0.7005,res::down_blocks.3.resnets.1
A,399,boundary,0.6879,res::down_blocks.3.resnets.1
A,299,boundary,0.7256,res::down_blocks.3.resnets.1
A,199,boundary,0.7506,res::down_blocks.3.resnets.1
A,99,boundary,0.7006,res::down_blocks.3.resnets.1
A,999,ordinal,0.5238,res::up_blocks.0.resnets.1
A,899,ordinal,0.5120,res::up_blocks.0.resnets.1
A,799,ordinal,0.5238,res::up_blocks.0.resnets.1
A,699,ordinal,0.5295,res::up_blocks.0.resnets.1
A,599,ordinal,0.5105,res::up_blocks.0.resnets.1
A,499,ordinal,0.5066,res::up_blocks.0.resnets.1
A,399,ordinal,0.5007,res::up_blocks.0.resnets.1
A,299,ordinal,0.5159,res::up_blocks.0.resnets.1
A,199,ordinal,0.5263,res::up_blocks.0.resnets.1
A,99,ordinal,0.5425,res::up_blocks.0.resnets.1
A,999,depth,0.1372,res::up_blocks.0.resnets.1
A,899,depth,0.1391,res::up_blocks.0.resnets.1
A,799,depth,0.1537,res::up_blocks.0.resnets.1
A,699,depth,0.1590,res::up_blocks.0.resnets.1
A,599,depth,0.1574,res::up_blocks.0.resnets.1
A,499,depth,0.1559,res::up_blocks.0.resnets.1
A,399,depth,0.1534,res::up_blocks.0.resnets.1
A,299,depth,0.1416,res::up_blocks.0.resnets.1
A,199,depth,0.1608,res::up_blocks.0.resnets.1
A,99,depth,0.1542,res::up_blocks.0.resnets.1
A,999,boundary,0.7506,res::up_blocks.0.resnets.1
A,899,boundary,0.7506,res::up_blocks.0.resnets.1
A,799,boundary,0.7506,res::up_blocks.0.resnets.1
A,699,boundary,0.7506,res::up_blocks.0.resnets.1
A,599,boundary,0.7506,res::up_blocks.0.resnets.1
A,499,boundary,0.7506,res::up_blocks.0.resnets.1
A,399,boundary,0.7506,res::up_blocks.0.resnets.1
A,299,boundary,0.7506,res::up_blocks.0.resnets.1
A,199,boundary,0.7506,res::up_blocks.0.resnets.1
A,99,boundary,0.7506,res::up_blocks.0.resnets.1
A,999,ordinal,0.6480,res::up_blocks.1.resnets.0
A,899,ordinal,0.6450,res::up_blocks.1.resnets.0
A,799,ordinal,0.6495,res::up_blocks.1.resnets.0
A,699,ordinal,0.6316,res::up_blocks.1.resnets.0
A,599,ordinal,0.6156,res::up_blocks.1.resnets.0
A,499,ordinal,0.5911,res::up_blocks.1.resnets.0
A,399,ordinal,0.6139,res::up_blocks.1.resnets.0
A,299,ordinal,0.5935,res::up_blocks.1.resnets.0
A,199,ordinal,0.6125,res::up_blocks.1.resnets.0
A,99,ordinal,0.6202,res::up_blocks.1.resnets.0
A,999,depth,0.1274,res::up_blocks.1.resnets.0
A,899,depth,0.1353,res::up_blocks.1.resnets.0
A,799,depth,0.1126,res::up_blocks.1.resnets.0
A,699,depth,0.1321,res::up_blocks.1.resnets.0
A,599,depth,0.1071,res::up_blocks.1.resnets.0
A,499,depth,0.1218,res::up_blocks.1.resnets.0
A,399,depth,0.1249,res::up_blocks.1.resnets.0
A,299,depth,0.1296,res::up_blocks.1.resnets.0
A,199,depth,0.1197,res::up_blocks.1.resnets.0
A,99,depth,0.1369,res::up_blocks.1.resnets.0
A,999,boundary,0.7452,res::up_blocks.1.resnets.0
A,899,boundary,0.7472,res::up_blocks.1.resnets.0
A,799,boundary,0.7477,res::up_blocks.1.resnets.0
A,699,boundary,0.7451,res::up_blocks.1.resnets.0
A,599,boundary,0.7453,res::up_blocks.1.resnets.0
A,499,boundary,0.7365,res::up_blocks.1.resnets.0
A,399,boundary,0.7427,res::up_blocks.1.resnets.0
A,299,boundary,0.7486,res::up_blocks.1.resnets.0
A,199,boundary,0.7506,res::up_blocks.1.resnets.0
A,99,boundary,0.7490,res::up_blocks.1.resnets.0
A,999,ordinal,0.6269,res::up_blocks.1.resnets.1
A,899,ordinal,0.6268,res::up_blocks.1.resnets.1
A,799,ordinal,0.6334,res::up_blocks.1.resnets.1
A,699,ordinal,0.6061,res::up_blocks.1.resnets.1
A,599,ordinal,0.6094,res::up_blocks.1.resnets.1
A,499,ordinal,0.6138,res::up_blocks.1.resnets.1
A,399,ordinal,0.6127,res::up_blocks.1.resnets.1
A,299,ordinal,0.6233,res::up_blocks.1.resnets.1
A,199,ordinal,0.6285,res::up_blocks.1.resnets.1
A,99,ordinal,0.5997,res::up_blocks.1.resnets.1
A,999,depth,0.1295,res::up_blocks.1.resnets.1
A,899,depth,0.1221,res::up_blocks.1.resnets.1
A,799,depth,0.1098,res::up_blocks.1.resnets.1
A,699,depth,0.1024,res::up_blocks.1.resnets.1
A,599,depth,0.1226,res::up_blocks.1.resnets.1
A,499,depth,0.1437,res::up_blocks.1.resnets.1
A,399,depth,0.1168,res::up_blocks.1.resnets.1
A,299,depth,0.1053,res::up_blocks.1.resnets.1
A,199,depth,0.1217,res::up_blocks.1.resnets.1
A,99,depth,0.1035,res::up_blocks.1.resnets.1
A,999,boundary,0.7383,res::up_blocks.1.resnets.1
A,899,boundary,0.7355,res::up_blocks.1.resnets.1
A,799,boundary,0.7423,res::up_blocks.1.resnets.1
A,699,boundary,0.7463,res::up_blocks.1.resnets.1
A,599,boundary,0.7466,res::up_blocks.1.resnets.1
A,499,boundary,0.7493,res::up_blocks.1.resnets.1
A,399,boundary,0.7391,res::up_blocks.1.resnets.1
A,299,boundary,0.7453,res::up_blocks.1.resnets.1
A,199,boundary,0.7301,res::up_blocks.1.resnets.1
A,99,boundary,0.7154,res::up_blocks.1.resnets.1
A,999,ordinal,0.6313,res::up_blocks.2.resnets.0
A,899,ordinal,0.6286,res::up_blocks.2.resnets.0
A,799,ordinal,0.6304,res::up_blocks.2.resnets.0
A,699,ordinal,0.6409,res::up_blocks.2.resnets.0
A,599,ordinal,0.6514,res::up_blocks.2.resnets.0
A,499,ordinal,0.6382,res::up_blocks.2.resnets.0
A,399,ordinal,0.6425,res::up_blocks.2.resnets.0
A,299,ordinal,0.6358,res::up_blocks.2.resnets.0
A,199,ordinal,0.6313,res::up_blocks.2.resnets.0
A,99,ordinal,0.6359,res::up_blocks.2.resnets.0
A,999,depth,0.1448,res::up_blocks.2.resnets.0
A,899,depth,0.1328,res::up_blocks.2.resnets.0
A,799,depth,0.1269,res::up_blocks.2.resnets.0
A,699,depth,0.1316,res::up_blocks.2.resnets.0
A,599,depth,0.1408,res::up_blocks.2.resnets.0
A,499,depth,0.1310,res::up_blocks.2.resnets.0
A,399,depth,0.1388,res::up_blocks.2.resnets.0
A,299,depth,0.1405,res::up_blocks.2.resnets.0
A,199,depth,0.1403,res::up_blocks.2.resnets.0
A,99,depth,0.1320,res::up_blocks.2.resnets.0
A,999,boundary,0.7410,res::up_blocks.2.resnets.0
A,899,boundary,0.7424,res::up_blocks.2.resnets.0
A,799,boundary,0.7424,res::up_blocks.2.resnets.0
A,699,boundary,0.7434,res::up_blocks.2.resnets.0
A,599,boundary,0.7427,res::up_blocks.2.resnets.0
A,499,boundary,0.7491,res::up_blocks.2.resnets.0
A,399,boundary,0.7385,res::up_blocks.2.resnets.0
A,299,boundary,0.7424,res::up_blocks.2.resnets.0
A,199,boundary,0.7438,res::up_blocks.2.resnets.0
A,99,boundary,0.7442,res::up_blocks.2.resnets.0
A,999,ordinal,0.6502,res::up_blocks.2.resnets.2
A,899,ordinal,0.6393,res::up_blocks.2.resnets.2
A,799,ordinal,0.6523,res::up_blocks.2.resnets.2
A,699,ordinal,0.6476,res::up_blocks.2.resnets.2
A,599,ordinal,0.6537,res::up_blocks.2.resnets.2
A,499,ordinal,0.6544,res::up_blocks.2.resnets.2
A,399,ordinal,0.6439,res::up_blocks.2.resnets.2
A,299,ordinal,0.6506,res::up_blocks.2.resnets.2
A,199,ordinal,0.6536,res::up_blocks.2.resnets.2
A,99,ordinal,0.6582,res::up_blocks.2.resnets.2
A,999,depth,0.1496,res::up_blocks.2.resnets.2
A,899,depth,0.1356,res::up_blocks.2.resnets.2
A,799,depth,0.1343,res::up_blocks.2.resnets.2
A,699,depth,0.1483,res::up_blocks.2.resnets.2
A,599,depth,0.1405,res::up_blocks.2.resnets.2
A,499,depth,0.1528,res::up_blocks.2.resnets.2
A,399,depth,0.1562,res::up_blocks.2.resnets.2
A,299,depth,0.1399,res::up_blocks.2.resnets.2
A,199,depth,0.1504,res::up_blocks.2.resnets.2
A,99,depth,0.1319,res::up_blocks.2.resnets.2
A,999,boundary,0.7506,res::up_blocks.2.resnets.2
A,899,boundary,0.7506,res::up_blocks.2.resnets.2
A,799,boundary,0.7492,res::up_blocks.2.resnets.2
A,699,boundary,0.7506,res::up_blocks.2.resnets.2
A,599,boundary,0.7493,res::up_blocks.2.resnets.2
A,499,boundary,0.7501,res::up_blocks.2.resnets.2
A,399,boundary,0.7506,res::up_blocks.2.resnets.2
A,299,boundary,0.7503,res::up_blocks.2.resnets.2
A,199,boundary,0.7501,res::up_blocks.2.resnets.2
A,99,boundary,0.7504,res::up_blocks.2.resnets.2
A,999,ordinal,0.6434,res::up_blocks.3.resnets.1
A,899,ordinal,0.6372,res::up_blocks.3.resnets.1
A,799,ordinal,0.6406,res::up_blocks.3.resnets.1
A,699,ordinal,0.6374,res::up_blocks.3.resnets.1
A,599,ordinal,0.6327,res::up_blocks.3.resnets.1
A,499,ordinal,0.6372,res::up_blocks.3.resnets.1
A,399,ordinal,0.6429,res::up_blocks.3.resnets.1
A,299,ordinal,0.6452,res::up_blocks.3.resnets.1
A,199,ordinal,0.6517,res::up_blocks.3.resnets.1
A,99,ordinal,0.6593,res::up_blocks.3.resnets.1
A,999,depth,0.1571,res::up_blocks.3.resnets.1
A,899,depth,0.1526,res::up_blocks.3.resnets.1
A,799,depth,0.1653,res::up_blocks.3.resnets.1
A,699,depth,0.1668,res::up_blocks.3.resnets.1
A,599,depth,0.1618,res::up_blocks.3.resnets.1
A,499,depth,0.1691,res::up_blocks.3.resnets.1
A,399,depth,0.1720,res::up_blocks.3.resnets.1
A,299,depth,0.1592,res::up_blocks.3.resnets.1
A,199,depth,0.1580,res::up_blocks.3.resnets.1
A,99,depth,0.1628,res::up_blocks.3.resnets.1
A,999,boundary,0.7506,res::up_blocks.3.resnets.1
A,899,boundary,0.7506,res::up_blocks.3.resnets.1
A,799,boundary,0.7506,res::up_blocks.3.resnets.1
A,699,boundary,0.7506,res::up_blocks.3.resnets.1
A,599,boundary,0.7506,res::up_blocks.3.resnets.1
A,499,boundary,0.7506,res::up_blocks.3.resnets.1
A,399,boundary,0.7506,res::up_blocks.3.resnets.1
A,299,boundary,0.7506,res::up_blocks.3.resnets.1
A,199,boundary,0.7506,res::up_blocks.3.resnets.1
A,99,boundary,0.7506,res::up_blocks.3.resnets.1
A,999,ordinal,0.5285,res::mid_block.resnets.0
A,899,ordinal,0.5068,res::mid_block.resnets.0
A,799,ordinal,0.4990,res::mid_block.resnets.0
A,699,ordinal,0.5272,res::mid_block.resnets.0
A,599,ordinal,0.5138,res::mid_block.resnets.0
A,499,ordinal,0.5108,res::mid_block.resnets.0
A,399,ordinal,0.5194,res::mid_block.resnets.0
A,299,ordinal,0.4964,res::mid_block.resnets.0
A,199,ordinal,0.5158,res::mid_block.resnets.0
A,99,ordinal,0.5100,res::mid_block.resnets.0
A,999,depth,0.0861,res::mid_block.resnets.0
A,899,depth,0.0759,res::mid_block.resnets.0
A,799,depth,0.0787,res::mid_block.resnets.0
A,699,depth,0.0642,res::mid_block.resnets.0
A,599,depth,0.0657,res::mid_block.resnets.0
A,499,depth,0.0588,res::mid_block.resnets.0
A,399,depth,0.0670,res::mid_block.resnets.0
A,299,depth,0.0627,res::mid_block.resnets.0
A,199,depth,0.0751,res::mid_block.resnets.0
A,99,depth,0.0631,res::mid_block.resnets.0
A,999,boundary,0.7381,res::mid_block.resnets.0
A,899,boundary,0.7256,res::mid_block.resnets.0
A,799,boundary,0.6878,res::mid_block.resnets.0
A,699,boundary,0.7255,res::mid_block.resnets.0
A,599,boundary,0.7381,res::mid_block.resnets.0
A,499,boundary,0.7381,res::mid_block.resnets.0
A,399,boundary,0.7005,res::mid_block.resnets.0
A,299,boundary,0.7131,res::mid_block.resnets.0
A,199,boundary,0.7131,res::mid_block.resnets.0
A,99,boundary,0.7004,res::mid_block.resnets.0
